               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10823,            0.086191,                   0,           0.0047436,            0.069353,           0.0025824,          0.00059844,            0.095617,             0.12792,                   0,              0.0705,           0.0032778,           0.0032778
                   1,            0.099459,             0.10193,                   0,           0.0053623,            0.069353,           0.0029121,          0.00071735,            0.090882,             0.13649,                   0,            0.040467,           0.0065784,           0.0065784
                   2,            0.096772,             0.10269,                   0,           0.0031307,             0.09747,           0.0018215,          0.00041238,             0.11521,            0.098598,                   0,            0.010402,            0.009846,            0.009846
                   3,            0.095029,             0.10381,                   0,           0.0069863,             0.14339,           0.0041253,           0.0012305,            0.099248,             0.12081,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.093916,             0.10544,                   0,             0.13915,             0.09747,            0.034011,           0.0097755,            0.088696,             0.11524,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.090305,            0.096991,                   0,             0.16816,             0.10965,            0.042567,            0.010788,            0.087638,             0.15896,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.087176,            0.089806,                   0,             0.15293,             0.20619,            0.076735,            0.023916,            0.079083,             0.10976,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,             0.08253,              0.0872,                   0,             0.19999,             0.22493,             0.10726,            0.035558,            0.073316,             0.10522,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.079117,            0.085746,                   0,             0.17608,             0.18182,            0.081543,            0.026519,            0.072259,             0.11662,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.07705,            0.080696,                   0,             0.30128,             0.33646,              0.2086,            0.070745,             0.06964,            0.099381,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.076177,            0.077149,                   0,             0.12973,             0.16626,            0.067999,            0.019276,            0.084045,             0.11059,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.072747,            0.081218,                   0,             0.39509,              0.3074,             0.23917,            0.085651,             0.06636,            0.099784,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.069631,            0.080144,                   0,             0.40352,             0.43205,             0.33715,             0.13259,            0.067928,            0.096595,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.070356,            0.073402,                   0,             0.50926,              0.4911,             0.47184,             0.18223,            0.062253,             0.09411,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.066784,            0.076321,                   0,             0.57369,             0.52577,             0.54679,             0.24117,            0.059642,            0.089366,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.066857,            0.074733,                   0,             0.50474,              0.4365,               0.403,             0.13888,            0.064458,            0.095682,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.066051,            0.075124,                   0,             0.38599,             0.36364,             0.32065,             0.12085,            0.064591,             0.10716,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.066062,            0.074502,                   0,             0.41479,             0.35473,               0.268,             0.10027,            0.075655,             0.11467,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.065583,            0.072333,                   0,               0.615,             0.50004,             0.56496,             0.24099,            0.058191,            0.090368,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.063148,            0.073158,                   0,             0.48466,             0.28382,             0.30458,             0.12446,            0.073724,             0.10579,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.063295,            0.072992,                   0,              0.7227,             0.43018,              0.5414,             0.25175,            0.058342,            0.094351,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.061875,            0.068991,                   0,             0.66735,             0.54338,             0.62048,             0.30064,            0.055831,            0.087579,                   0,             0.00901,             0.00901,             0.00901
                  22,             0.06128,            0.073588,                   0,              0.6748,             0.58148,             0.64744,              0.2842,            0.056699,            0.081646,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.059588,            0.071783,                   0,             0.62331,             0.50141,             0.54587,             0.23726,            0.059734,            0.092614,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.059982,            0.066948,                   0,             0.71357,             0.60544,             0.67071,             0.33928,            0.053227,              0.0831,                   0,           0.0088615,           0.0088615,           0.0088615
